MEASURE,SEX,AGE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT,UNIT_MULT
QLF15C03,T,Y60-64,2004Q1,352.2,A,F,NR,3
QLF15C03,M,Y60-64,2004Q1,185.8,A,F,NR,3
QLF15C03,F,Y60-64,2004Q1,166.4,A,F,NR,3
QLF15C03,T,Y65-69,2004Q1,66.5,U,F,NR,3
QLF15C03,M,Y65-69,2004Q1,42.1,U,F,NR,3
QLF15C03,T,Y65-74,2004Q1,80.8,A,F,NR,3
QLF15C03,M,Y65-74,2004Q1,50.9,U,F,NR,3
QLF15C03,T,Y_GE15,2004Q1,26978.2,A,F,NR,3
QLF15C03,M,Y_GE15,2004Q1,14414.4,A,F,NR,3
QLF15C03,F,Y_GE15,2004Q1,12563.8,A,F,NR,3
QLF15C03,T,Y_GE25,2004Q1,24230.2,A,F,NR,3
QLF15C03,M,Y_GE25,2004Q1,12912.2,A,F,NR,3
QLF15C03,F,Y_GE25,2004Q1,11318.0,A,F,NR,3
QLF15C03,T,Y_GE50,2004Q1,5994.8,A,F,NR,3
QLF15C03,M,Y_GE50,2004Q1,3235.0,A,F,NR,3
QLF15C03,F,Y_GE50,2004Q1,2759.8,A,F,NR,3
QLF15C03,T,Y_GE65,2004Q1,98.5,A,F,NR,3
QLF15C03,M,Y_GE65,2004Q1,59.3,U,F,NR,3
QLF15C03,F,Y_GE65,2004Q1,39.2,U,F,NR,3
QLF15C03,T,Y15-64,2004Q2,26893.4,A,F,NR,3
QLF15C03,M,Y15-64,2004Q2,14321.8,A,F,NR,3
QLF15C03,F,Y15-64,2004Q2,12571.6,A,F,NR,3
QLF15C03,T,Y15-19,2004Q2,497.1,A,F,NR,3
QLF15C03,M,Y15-19,2004Q2,301.8,A,F,NR,3
QLF15C03,F,Y15-19,2004Q2,195.4,A,F,NR,3
QLF15C03,T,Y15-24,2004Q2,2755.8,A,F,NR,3
QLF15C03,M,Y15-24,2004Q2,1504.9,A,F,NR,3
QLF15C03,F,Y15-24,2004Q2,1250.9,A,F,NR,3
QLF15C03,T,Y15-39,2004Q2,13440.8,A,F,NR,3
QLF15C03,M,Y15-39,2004Q2,7223.9,A,F,NR,3
QLF15C03,F,Y15-39,2004Q2,6216.9,A,F,NR,3
QLF15C03,T,Y15-59,2004Q2,26533.4,A,F,NR,3
QLF15C03,M,Y15-59,2004Q2,14130.0,A,F,NR,3
QLF15C03,F,Y15-59,2004Q2,12403.3,A,F,NR,3
QLF15C03,T,Y15-74,2004Q2,26976.3,A,F,NR,3
QLF15C03,M,Y15-74,2004Q2,14374.8,A,F,NR,3
QLF15C03,F,Y15-74,2004Q2,12601.5,A,F,NR,3
QLF15C03,T,Y20-24,2004Q2,2258.7,A,F,NR,3
QLF15C03,M,Y20-24,2004Q2,1203.1,A,F,NR,3
QLF15C03,F,Y20-24,2004Q2,1055.6,A,F,NR,3
QLF15C03,T,Y20-64,2004Q2,26396.3,A,F,NR,3
QLF15C03,M,Y20-64,2004Q2,14020.0,A,F,NR,3
